# BUSCO version is: 3.0.0 
# The lineage dataset is: protists_ensembl (Creation date: 2016-11-15, number of species: 33, number of BUSCOs: 215)
# To reproduce this run: python /software/applications/busco/3.0.0/scripts/run_BUSCO.py -i /storage/home/users/dro/PipelineAnalyses/Nu_Nu_Analysis/CompanionDownloads/Cultured/proteins.fasta -o Cultured_Pk -l /storage/home/users/dro/Tools/augustusConfig/protists_ensembl/ -m proteins -c 32 --long -z
#
# Busco id	Status	Sequence	Score	Length
EPrGT00050000000021	Missing
EPrGT00050000001368	Complete	PKA1H1_STAND_140015400.1	420.2	535
EPrGT00050000001406	Complete	PKA1H1_STAND_130012200.1	479.3	425
EPrGT00050000001412	Complete	PKA1H1_STAND_030008500.1	3435.9	1962
EPrGT00050000001435	Complete	PKA1H1_STAND_120019600.1	889.4	762
EPrGT00050000001604	Complete	PKA1H1_STAND_120013400.1	116.2	121
EPrGT00050000001796	Complete	PKA1H1_STAND_080016200.1	205.3	249
EPrGT00050000001854	Complete	PKA1H1_STAND_130008600.1	209.8	217
EPrGT00050000001855	Complete	PKA1H1_STAND_100010300.1	296.2	341
EPrGT00050000001885	Complete	PKA1H1_STAND_130052200.1	238.2	245
EPrGT00050000001927	Missing
EPrGT00050000001937	Complete	PKA1H1_STAND_040011500.1	415.3	511
EPrGT00050000002100	Complete	PKA1H1_STAND_110017000.1	118.3	103
EPrGT00050000002128	Complete	PKA1H1_STAND_110024000.1	1362.5	1376
EPrGT00050000002142	Complete	PKA1H1_STAND_110031500.1	172.1	162
EPrGT00050000002199	Missing
EPrGT00050000002214	Missing
EPrGT00050000002346	Complete	PKA1H1_STAND_140006900.1	184.0	220
EPrGT00050000002389	Complete	PKA1H1_STAND_140027800.1	140.7	249
EPrGT00050000002467	Missing
EPrGT00050000002494	Missing
EPrGT00050000002505	Complete	PKA1H1_STAND_050018200.1	423.3	265
EPrGT00050000002533	Missing
EPrGT00050000002690	Complete	PKA1H1_STAND_080040600.1	269.9	312
EPrGT00050000002851	Complete	PKA1H1_STAND_140051100.1	250.4	297
EPrGT00050000002854	Complete	PKA1H1_STAND_030012200.1	487.1	383
EPrGT00050000002860	Complete	PKA1H1_STAND_020011100.1	338.7	337
EPrGT00050000002879	Complete	PKA1H1_STAND_060011300.1	112.1	159
EPrGT00050000002887	Complete	PKA1H1_STAND_120065300.1	312.8	304
EPrGT00050000003007	Complete	PKA1H1_STAND_100022000.1	172.9	200
EPrGT00050000003076	Complete	PKA1H1_STAND_090038200.1	387.8	406
EPrGT00050000003113	Missing
EPrGT00050000003116	Complete	PKA1H1_STAND_080027100.1	176.6	108
EPrGT00050000003119	Complete	PKA1H1_STAND_070026600.1	137.8	87
EPrGT00050000003122	Missing
EPrGT00050000003160	Missing
EPrGT00050000003199	Complete	PKA1H1_STAND_140048700.1	174.0	144
EPrGT00050000003237	Complete	PKA1H1_STAND_090028900.1	134.5	91
EPrGT00050000003239	Complete	PKA1H1_STAND_100020700.1	362.4	454
EPrGT00050000003303	Missing
EPrGT00050000003367	Complete	PKA1H1_STAND_130048100.1	138.6	126
EPrGT00050000003390	Complete	PKA1H1_STAND_030023400.1	370.9	323
EPrGT00050000003415	Missing
EPrGT00050000003588	Missing
EPrGT00050000003603	Complete	PKA1H1_STAND_140007400.1	193.0	194
EPrGT00050000003615	Missing
EPrGT00050000003620	Missing
EPrGT00050000003868	Missing
EPrGT00050000003931	Complete	PKA1H1_STAND_090028000.1	189.0	198
EPrGT00050000003964	Complete	PKA1H1_STAND_110007900.1	824.2	505
EPrGT00050000004000	Complete	PKA1H1_STAND_070008200.1	190.1	163
EPrGT00050000004027	Missing
EPrGT00050000004090	Complete	PKA1H1_STAND_040019800.1	877.8	746
EPrGT00050000004139	Complete	PKA1H1_STAND_020009300.1	473.2	370
EPrGT00050000004141	Complete	PKA1H1_STAND_080039700.1	1322.6	795
EPrGT00050000004155	Missing
EPrGT00050000004169	Complete	PKA1H1_STAND_010020200.1	199.7	190
EPrGT00050000004171	Complete	PKA1H1_STAND_120014600.1	207.5	170
EPrGT00050000004283	Complete	PKA1H1_STAND_060014500.1	546.2	481
EPrGT00050000004299	Complete	PKA1H1_STAND_110045700.1	222.5	308
EPrGT00050000004324	Complete	PKA1H1_STAND_140049100.1	149.7	89
EPrGT00050000004348	Missing
EPrGT00050000004425	Complete	PKA1H1_STAND_080017100.1	513.6	435
EPrGT00050000004725	Complete	PKA1H1_STAND_130053900.1	312.0	281
EPrGT00050000004757	Missing
EPrGT00050000004774	Complete	PKA1H1_STAND_090042800.1	177.8	253
EPrGT00050000004785	Complete	PKA1H1_STAND_080042100.1	505.7	431
EPrGT00050000004860	Complete	PKA1H1_STAND_010022600.1	403.6	424
EPrGT00050000004932	Complete	PKA1H1_STAND_080015200.1	277.7	186
EPrGT00050000004969	Complete	PKA1H1_STAND_060007600.1	131.3	85
EPrGT00050000005003	Complete	PKA1H1_STAND_090030800.1	263.7	198
EPrGT00050000005020	Complete	PKA1H1_STAND_080011800.1	264.7	381
EPrGT00050000005111	Complete	PKA1H1_STAND_090046500.1	183.4	100
EPrGT00050000005127	Complete	PKA1H1_STAND_100033000.1	125.8	73
EPrGT00050000005128	Complete	PKA1H1_STAND_120019200.1	143.5	139
EPrGT00050000005163	Missing
EPrGT00050000005182	Complete	PKA1H1_STAND_080045700.1	153.5	121
EPrGT00050000005194	Complete	PKA1H1_STAND_140020700.1	240.4	208
EPrGT00050000005212	Missing
EPrGT00050000005290	Missing
EPrGT00050000005304	Complete	PKA1H1_STAND_020012700.1	255.3	272
EPrGT00050000005330	Complete	PKA1H1_STAND_140011400.1	97.3	117
EPrGT00050000005339	Complete	PKA1H1_STAND_050016400.1	196.3	142
EPrGT00050000005370	Complete	PKA1H1_STAND_100009300.1	287.8	342
EPrGT00050000005384	Complete	PKA1H1_STAND_040007200.1	128.0	76
EPrGT00050000005427	Fragmented	PKA1H1_STAND_120025400.1	214.5	154
EPrGT00050000005439	Complete	PKA1H1_STAND_090044600.1	203.8	185
EPrGT00050000005459	Complete	PKA1H1_STAND_030020400.1	131.2	88
EPrGT00050000005482	Complete	PKA1H1_STAND_120064100.1	231.2	168
EPrGT00050000005485	Complete	PKA1H1_STAND_110035900.1	163.6	132
EPrGT00050000005498	Complete	PKA1H1_STAND_100032700.1	189.9	123
EPrGT00050000005502	Missing
EPrGT00050000005514	Complete	PKA1H1_STAND_090033600.1	329.7	241
EPrGT00050000005516	Missing
EPrGT00050000005533	Complete	PKA1H1_STAND_080013500.1	312.1	218
EPrGT00050000005562	Complete	PKA1H1_STAND_080041500.1	162.5	112
EPrGT00050000005628	Missing
EPrGT00050000005659	Missing
EPrGT00050000005670	Complete	PKA1H1_STAND_100016800.1	640.0	410
EPrGT00050000005683	Complete	PKA1H1_STAND_140068300.1	131.5	78
EPrGT00050000005687	Complete	PKA1H1_STAND_120032600.1	184.0	108
EPrGT00050000005712	Complete	PKA1H1_STAND_020018200.1	459.8	299
EPrGT00050000005714	Missing
EPrGT00050000005721	Complete	PKA1H1_STAND_120048600.1	264.3	213
EPrGT00050000005732	Complete	PKA1H1_STAND_010011400.1	404.6	238
EPrGT00050000005743	Complete	PKA1H1_STAND_060006500.1	256.7	191
EPrGT00050000005769	Missing
EPrGT00050000005783	Complete	PKA1H1_STAND_140020600.1	146.0	169
EPrGT00050000005798	Complete	PKA1H1_STAND_030013700.1	208.1	181
EPrGT00050000005800	Complete	PKA1H1_STAND_010015900.1	418.2	270
EPrGT00050000005808	Complete	PKA1H1_STAND_030026000.1	213.4	133
EPrGT00050000005815	Missing
EPrGT00050000005840	Complete	PKA1H1_STAND_100008100.1	226.7	159
EPrGT00050000005847	Complete	PKA1H1_STAND_030019000.1	123.1	132
EPrGT00050000005852	Complete	PKA1H1_STAND_090043100.1	133.7	95
EPrGT00050000005857	Complete	PKA1H1_STAND_050009200.1	145.9	127
EPrGT00050000005858	Complete	PKA1H1_STAND_110041000.1	269.9	168
EPrGT00050000005863	Complete	PKA1H1_STAND_090047100.1	120.7	73
EPrGT00050000005885	Complete	PKA1H1_STAND_100035000.1	143.0	95
EPrGT00050000005914	Complete	PKA1H1_STAND_040029700.1	137.5	123
EPrGT00050000005939	Complete	PKA1H1_STAND_040017700.1	340.4	223
EPrGT00050000005940	Missing
EPrGT00050000005944	Complete	PKA1H1_STAND_130056400.1	200.6	147
EPrGT00050000005954	Missing
EPrGT00050000005957	Complete	PKA1H1_STAND_030022900.1	318.4	308
EPrGT00050000005966	Complete	PKA1H1_STAND_120067800.1	476.2	335
EPrGT00050000005974	Missing
EPrGT00050000005991	Missing
EPrGT00050000005993	Missing
EPrGT00050000005995	Complete	PKA1H1_STAND_070005600.1	151.6	126
EPrGT00050000006007	Missing
EPrGT00050000006021	Complete	PKA1H1_STAND_070013700.1	252.7	295
EPrGT00050000006026	Complete	PKA1H1_STAND_130016400.1	312.4	297
EPrGT00050000006045	Complete	PKA1H1_STAND_110022100.1	399.9	335
EPrGT00050000006077	Complete	PKA1H1_STAND_090031800.1	117.5	78
EPrGT00050000006079	Complete	PKA1H1_STAND_120055200.1	124.8	74
EPrGT00050000006089	Complete	PKA1H1_STAND_120072400.1	378.1	214
EPrGT00050000006094	Complete	PKA1H1_STAND_080007300.1	175.1	99
EPrGT00050000006107	Missing
EPrGT00050000006117	Complete	PKA1H1_STAND_100018500.1	152.4	114
EPrGT00050000006133	Complete	PKA1H1_STAND_060007000.1	348.5	341
EPrGT00050000007812	Complete	PKA1H1_STAND_080024800.1	330.6	282
EPrGT00060000009593	Complete	PKA1H1_STAND_040019200.1	55.8	53
EPrGT00080000010433	Missing
EPrGT00080000010443	Missing
EPrGT00080000010466	Missing
EPrGT00080000010490	Missing
EPrGT00080000010691	Missing
EPrGT00100000018366	Complete	PKA1H1_STAND_060022300.1	531.3	357
EPrGT00100000018398	Complete	PKA1H1_STAND_120021200.1	421.2	323
EPrGT00100000018425	Complete	PKA1H1_STAND_110027300.1	605.1	714
EPrGT00100000018436	Complete	PKA1H1_STAND_140029500.1	673.9	697
EPrGT00130000022637	Complete	PKA1H1_STAND_130047700.1	113.3	74
EPrGT00130000022638	Complete	PKA1H1_STAND_140009200.1	99.0	85
EPrGT00130000022654	Complete	PKA1H1_STAND_030006700.1	535.2	535
EPrGT00130000022657	Missing
EPrGT00130000022658	Missing
EPrGT00180000031562	Complete	PKA1H1_STAND_120039100.1	490.1	694
EPrGT00180000031570	Complete	PKA1H1_STAND_080040000.1	327.3	322
EPrGT00180000031577	Complete	PKA1H1_STAND_090039300.1	287.7	212
EPrGT00300000062272	Complete	PKA1H1_STAND_040019700.1	314.1	358
EPrGT00300000062282	Duplicated	PKA1H1_STAND_050016500.1	357.6	219
EPrGT00300000062282	Duplicated	PKA1H1_STAND_120019000.1	357.6	219
EPrGT00300000062282	Duplicated	PKA1H1_STAND_140066400.1	357.6	219
EPrGT00300000062292	Complete	PKA1H1_STAND_130049300.1	375.2	295
EPrGT00300000062294	Complete	PKA1H1_STAND_040027500.1	198.8	230
EPrGT00300000062297	Complete	PKA1H1_STAND_140016100.1	747.5	385
EPrGT00300000062306	Missing
EPrGT00300000062307	Missing
EPrGT00300000062311	Missing
EPrGT00300000062313	Complete	PKA1H1_STAND_030016900.1	303.3	267
EPrGT00300000062326	Missing
EPrGT00300000062330	Complete	PKA1H1_STAND_120075000.1	137.6	142
EPrGT00300000062331	Complete	PKA1H1_STAND_140063400.1	537.6	421
EPrGT00300000062349	Complete	PKA1H1_STAND_030020000.1	277.5	263
EPrGT00300000062353	Complete	PKA1H1_STAND_090030400.1	119.6	64
EPrGT00310000125947	Complete	PKA1H1_STAND_090049200.1	132.4	369
EPrGT00310000126007	Complete	PKA1H1_STAND_110049500.1	922.6	812
EPrGT00310000126008	Complete	PKA1H1_STAND_110022700.1	331.3	200
EPrGT00310000126010	Complete	PKA1H1_STAND_140023500.1	920.0	1266
EPrGT00310000126014	Missing
EPrGT00310000126021	Missing
EPrGT00740000041381	Missing
