#gene_name	#distance_next_to_gene_after_end	#distance_before_to_gene
PKA1H1_STAND_010011000	1200	2129
PKA1H1_STAND_010011100	3937	1200
PKA1H1_STAND_010011200	5938	3937
PKA1H1_STAND_010011400	1413	5938
PKA1H1_STAND_010011500	944	1413
PKA1H1_STAND_010011600	264	944
PKA1H1_STAND_010011700	963	264
PKA1H1_STAND_010011800	895	963
PKA1H1_STAND_010011900	11400	895
PKA1H1_STAND_010012200	1065	11400
PKA1H1_STAND_010012300	3765	1065
PKA1H1_STAND_010012400	695	3765
PKA1H1_STAND_010012500	2523	695
PKA1H1_STAND_010012600	2415	2523
PKA1H1_STAND_010012700	721	2415
PKA1H1_STAND_010012800	386	721
PKA1H1_STAND_010012900	8792	386
PKA1H1_STAND_010013100	5959	8792
PKA1H1_STAND_010013300	1613	5959
PKA1H1_STAND_010013400	1938	1613
PKA1H1_STAND_010013500	25460	1938
PKA1H1_STAND_010013900	421	25460
PKA1H1_STAND_010014000	853	421
PKA1H1_STAND_010014100	325	853
PKA1H1_STAND_010014200	1165	325
PKA1H1_STAND_010014300	4174	1165
PKA1H1_STAND_010014500	514	4174
PKA1H1_STAND_010014600	6158	514
PKA1H1_STAND_010014800	6930	6158
PKA1H1_STAND_010015000	429	6930
PKA1H1_STAND_010015100	3387	429
PKA1H1_STAND_010015200	1850	3387
PKA1H1_STAND_010015300	53	1850
PKA1H1_STAND_010015400	1100	53
PKA1H1_STAND_010015500	3108	1100
PKA1H1_STAND_010015600	10935	3108
PKA1H1_STAND_010015900	1411	10935
PKA1H1_STAND_010016000	2364	1411
PKA1H1_STAND_010016200	593	2364
PKA1H1_STAND_010016300	889	593
PKA1H1_STAND_010016400	1199	889
PKA1H1_STAND_010016500	1722	1199
PKA1H1_STAND_010016600	2555	1722
PKA1H1_STAND_010016700	1596	2555
PKA1H1_STAND_010016800	356	1596
PKA1H1_STAND_010016900	687	356
PKA1H1_STAND_010017000	2146	687
PKA1H1_STAND_010017100	645	2146
PKA1H1_STAND_010017200	8936	645
PKA1H1_STAND_010017400	1881	8936
PKA1H1_STAND_010017500	814	1881
PKA1H1_STAND_010017600	6601	814
PKA1H1_STAND_010017800	952	6601
PKA1H1_STAND_010017900	804	952
PKA1H1_STAND_010018000	767	804
PKA1H1_STAND_010018100	7092	767
PKA1H1_STAND_010018300	1488	7092
PKA1H1_STAND_010018400	14377	1488
PKA1H1_STAND_010018500	4158	14377
PKA1H1_STAND_010018600	6608	4158
PKA1H1_STAND_010018800	7469	6608
PKA1H1_STAND_010018900	1675	7469
PKA1H1_STAND_010019000	2828	1675
PKA1H1_STAND_010019100	2717	2828
PKA1H1_STAND_010019200	2277	2717
PKA1H1_STAND_010019300	624	2277
PKA1H1_STAND_010019400	11640	624
PKA1H1_STAND_010019700	33	11640
PKA1H1_STAND_010019800	5768	33
PKA1H1_STAND_010019900	945	5768
PKA1H1_STAND_010020000	1067	945
PKA1H1_STAND_010020100	3208	1067
PKA1H1_STAND_010020200	324	3208
PKA1H1_STAND_010020300	1813	324
PKA1H1_STAND_010020400	2482	1813
PKA1H1_STAND_010020500	1927	2482
PKA1H1_STAND_010020600	1284	1927
PKA1H1_STAND_010020700	2370	1284
PKA1H1_STAND_010020800	4586	2370
PKA1H1_STAND_010021000	613	4586
PKA1H1_STAND_010021100	544	613
PKA1H1_STAND_010021200	1861	544
PKA1H1_STAND_010021300	12086	1861
PKA1H1_STAND_010021600	53	12086
PKA1H1_STAND_010021700	1999	53
PKA1H1_STAND_010021800	484	1999
PKA1H1_STAND_010021900	12495	484
PKA1H1_STAND_010022100	19710	12495
PKA1H1_STAND_010022300	1121	19710
PKA1H1_STAND_010022400	2783	1121
PKA1H1_STAND_010022500	1076	2783
PKA1H1_STAND_010022600	2479	1076
PKA1H1_STAND_010022700	1349	2479
PKA1H1_STAND_010022800	2501	1349
PKA1H1_STAND_010022900	11831	2501
PKA1H1_STAND_010023000	2164	11831
PKA1H1_STAND_010023100	3444	2164
PKA1H1_STAND_010023200	2651	3444
PKA1H1_STAND_010023300	1354	2651
PKA1H1_STAND_010023400	5383	1354
PKA1H1_STAND_010023600	20206	5383
PKA1H1_STAND_010024000	0	20206
PKA1H1_STAND_020005000	276	0
PKA1H1_STAND_020005100	14465	276
PKA1H1_STAND_020005200	9521	14465
PKA1H1_STAND_020005400	3599	9521
PKA1H1_STAND_020005500	9022	3599
PKA1H1_STAND_020005700	1421	9022
PKA1H1_STAND_020005800	3979	1421
PKA1H1_STAND_020005900	4761	3979
PKA1H1_STAND_020006000	2923	4761
PKA1H1_STAND_020006100	527	2923
PKA1H1_STAND_020006200	4387	527
PKA1H1_STAND_020006300	2005	4387
PKA1H1_STAND_020006400	3852	2005
PKA1H1_STAND_020006500	10217	3852
PKA1H1_STAND_020006600	1721	10217
PKA1H1_STAND_020006700	169	1721
PKA1H1_STAND_020006800	6926	169
PKA1H1_STAND_020007000	1825	6926
PKA1H1_STAND_020007200	1361	1825
PKA1H1_STAND_020007300	1846	1361
PKA1H1_STAND_020007400	737	1846
PKA1H1_STAND_020007500	1565	737
PKA1H1_STAND_020007600	692	1565
PKA1H1_STAND_020007700	684	692
PKA1H1_STAND_020007800	4122	684
PKA1H1_STAND_020007900	19864	4122
PKA1H1_STAND_020008300	4183	19864
PKA1H1_STAND_020008400	14616	4183
PKA1H1_STAND_020008700	513	14616
PKA1H1_STAND_020008800	451	513
PKA1H1_STAND_020008900	260	451
PKA1H1_STAND_020009000	520	260
PKA1H1_STAND_020009100	183	520
PKA1H1_STAND_020009200	638	183
PKA1H1_STAND_020009300	1078	638
PKA1H1_STAND_020009400	461	1078
PKA1H1_STAND_020009500	838	461
PKA1H1_STAND_020009600	1039	838
PKA1H1_STAND_020009700	3300	1039
PKA1H1_STAND_020009900	384	3300
PKA1H1_STAND_020010000	1262	384
PKA1H1_STAND_020010100	2568	1262
PKA1H1_STAND_020010200	1504	2568
PKA1H1_STAND_020010300	561	1504
PKA1H1_STAND_020010400	551	561
PKA1H1_STAND_020010500	2426	551
PKA1H1_STAND_020010600	948	2426
PKA1H1_STAND_020010700	4305	948
PKA1H1_STAND_020010800	1259	4305
PKA1H1_STAND_020010900	1454	1259
PKA1H1_STAND_020011000	48	1454
PKA1H1_STAND_020011100	793	48
PKA1H1_STAND_020011200	1033	793
PKA1H1_STAND_020011300	8464	1033
PKA1H1_STAND_020011400	964	8464
PKA1H1_STAND_020011500	1570	964
PKA1H1_STAND_020011600	343	1570
PKA1H1_STAND_020011700	155	343
PKA1H1_STAND_020011800	870	155
PKA1H1_STAND_020011900	1337	870
PKA1H1_STAND_020012000	1464	1337
PKA1H1_STAND_020012100	1126	1464
PKA1H1_STAND_020012200	808	1126
PKA1H1_STAND_020012300	1480	808
PKA1H1_STAND_020012400	7721	1480
PKA1H1_STAND_020012600	1648	7721
PKA1H1_STAND_020012700	1429	1648
PKA1H1_STAND_020012800	331	1429
PKA1H1_STAND_020012900	5435	331
PKA1H1_STAND_020013100	2826	5435
PKA1H1_STAND_020013200	44	2826
PKA1H1_STAND_020013300	4482	44
PKA1H1_STAND_020013600	5210	4482
PKA1H1_STAND_020013700	887	5210
PKA1H1_STAND_020013800	751	887
PKA1H1_STAND_020013900	1356	751
PKA1H1_STAND_020014000	1209	1356
PKA1H1_STAND_020014100	415	1209
PKA1H1_STAND_020014200	2993	415
PKA1H1_STAND_020014300	4063	2993
PKA1H1_STAND_020014500	520	4063
PKA1H1_STAND_020014600	543	520
PKA1H1_STAND_020014700	14931	543
PKA1H1_STAND_020014900	1337	14931
PKA1H1_STAND_020015000	2195	1337
PKA1H1_STAND_020015100	1289	2195
PKA1H1_STAND_020015200	2272	1289
PKA1H1_STAND_020015300	447	2272
PKA1H1_STAND_020015400	19952	447
PKA1H1_STAND_020015800	1970	19952
PKA1H1_STAND_020015900	2305	1970
PKA1H1_STAND_020016000	6785	2305
PKA1H1_STAND_020016200	1340	6785
PKA1H1_STAND_020016300	1151	1340
PKA1H1_STAND_020016400	1629	1151
PKA1H1_STAND_020016500	309	1629
PKA1H1_STAND_020016600	16642	309
PKA1H1_STAND_020016800	502	16642
PKA1H1_STAND_020016900	203	502
PKA1H1_STAND_020017000	1348	203
PKA1H1_STAND_020017100	4503	1348
PKA1H1_STAND_020017300	1855	4503
PKA1H1_STAND_020017400	1383	1855
PKA1H1_STAND_020017500	1146	1383
PKA1H1_STAND_020017600	725	1146
PKA1H1_STAND_020017700	1122	725
PKA1H1_STAND_020017800	183	1122
PKA1H1_STAND_020017900	2328	183
PKA1H1_STAND_020018000	2731	2328
PKA1H1_STAND_020018100	1011	2731
PKA1H1_STAND_020018200	1823	1011
PKA1H1_STAND_020018300	1441	1823
PKA1H1_STAND_020018400	631	1441
PKA1H1_STAND_020018500	747	631
PKA1H1_STAND_020018600	254	747
PKA1H1_STAND_020018700	8845	254
PKA1H1_STAND_020018900	2056	8845
PKA1H1_STAND_020019000	104	2056
PKA1H1_STAND_020019100	964	104
PKA1H1_STAND_020019200	1613	964
PKA1H1_STAND_020019300	1176	1613
PKA1H1_STAND_020019400	4997	1176
PKA1H1_STAND_020019600	6322	4997
PKA1H1_STAND_020019700	6243	6322
PKA1H1_STAND_020019800	5978	6243
PKA1H1_STAND_020019900	4713	5978
PKA1H1_STAND_020020100	285	4713
PKA1H1_STAND_020020200	1889	285
PKA1H1_STAND_020020300	1840	1889
PKA1H1_STAND_020020400	344	1840
PKA1H1_STAND_020020500	756	344
PKA1H1_STAND_020020600	826	756
PKA1H1_STAND_020020700	8154	826
PKA1H1_STAND_020020800	3054	8154
PKA1H1_STAND_020020900	1354	3054
PKA1H1_STAND_020021000	3059	1354
PKA1H1_STAND_020021100	1099	3059
PKA1H1_STAND_020021200	2435	1099
PKA1H1_STAND_020021300	1399	2435
PKA1H1_STAND_020021400	3166	1399
PKA1H1_STAND_020021500	4726	3166
PKA1H1_STAND_020021600	2490	4726
PKA1H1_STAND_020021700	3940	2490
PKA1H1_STAND_020021800	1732	3940
PKA1H1_STAND_020021900	1973	1732
PKA1H1_STAND_020022000	0	1973
PKA1H1_STAND_030005100	4578	0
PKA1H1_STAND_030005200	3372	4578
PKA1H1_STAND_030005300	4800	3372
PKA1H1_STAND_030005400	3125	4800
PKA1H1_STAND_030005500	4157	3125
PKA1H1_STAND_030005600	2485	4157
PKA1H1_STAND_030005700	3761	2485
PKA1H1_STAND_030005900	960	3761
PKA1H1_STAND_030006000	1795	960
PKA1H1_STAND_030006100	5865	1795
PKA1H1_STAND_030006200	1641	5865
PKA1H1_STAND_030006300	1175	1641
PKA1H1_STAND_030006400	1385	1175
PKA1H1_STAND_030006500	1806	1385
PKA1H1_STAND_030006600	7457	1806
PKA1H1_STAND_030006700	2602	7457
PKA1H1_STAND_030006800	6654	2602
PKA1H1_STAND_030006900	631	6654
PKA1H1_STAND_030007000	15123	631
PKA1H1_STAND_030007200	1032	15123
PKA1H1_STAND_030007300	2067	1032
PKA1H1_STAND_030007400	1734	2067
PKA1H1_STAND_030007500	1625	1734
PKA1H1_STAND_030007600	20352	1625
PKA1H1_STAND_030007800	992	20352
PKA1H1_STAND_030007900	1516	992
PKA1H1_STAND_030008000	1361	1516
PKA1H1_STAND_030008100	9828	1361
PKA1H1_STAND_030008300	1007	9828
PKA1H1_STAND_030008400	3361	1007
PKA1H1_STAND_030008500	659	3361
PKA1H1_STAND_030008600	1010	659
PKA1H1_STAND_030008700	571	1010
PKA1H1_STAND_030008800	3679	571
PKA1H1_STAND_030008900	1069	3679
PKA1H1_STAND_030009000	3050	1069
PKA1H1_STAND_030009100	1261	3050
PKA1H1_STAND_030009200	3455	1261
PKA1H1_STAND_030009300	1652	3455
PKA1H1_STAND_030009400	6241	1652
PKA1H1_STAND_030009600	1001	6241
PKA1H1_STAND_030009700	111	1001
PKA1H1_STAND_030009800	842	111
PKA1H1_STAND_030009900	623	842
PKA1H1_STAND_030010000	2445	623
PKA1H1_STAND_030010200	1541	2445
PKA1H1_STAND_030010300	844	1541
PKA1H1_STAND_030010400	2249	844
PKA1H1_STAND_030010500	6542	2249
PKA1H1_STAND_030010700	4529	6542
PKA1H1_STAND_030010800	713	4529
PKA1H1_STAND_030010900	930	713
PKA1H1_STAND_030011000	7214	930
PKA1H1_STAND_030011200	393	7214
PKA1H1_STAND_030011300	1355	393
PKA1H1_STAND_030011400	1073	1355
PKA1H1_STAND_030011500	4063	1073
PKA1H1_STAND_030011600	7027	4063
PKA1H1_STAND_030011800	1645	7027
PKA1H1_STAND_030011900	7951	1645
PKA1H1_STAND_030012100	924	7951
PKA1H1_STAND_030012200	17763	924
PKA1H1_STAND_030012600	1542	17763
PKA1H1_STAND_030012700	444	1542
PKA1H1_STAND_030012800	6633	444
PKA1H1_STAND_030013000	4330	6633
PKA1H1_STAND_030013200	4258	4330
PKA1H1_STAND_030013400	820	4258
PKA1H1_STAND_030013500	969	820
PKA1H1_STAND_030013600	2817	969
PKA1H1_STAND_030013700	435	2817
PKA1H1_STAND_030013800	2002	435
PKA1H1_STAND_030013900	625	2002
PKA1H1_STAND_030014000	2419	625
PKA1H1_STAND_030014100	548	2419
PKA1H1_STAND_030014200	6156	548
PKA1H1_STAND_030014400	6578	6156
PKA1H1_STAND_030014700	672	6578
PKA1H1_STAND_030014800	568	672
PKA1H1_STAND_030014900	457	568
PKA1H1_STAND_030015000	19919	457
PKA1H1_STAND_030015300	2656	19919
PKA1H1_STAND_030015400	1380	2656
PKA1H1_STAND_030015500	596	1380
PKA1H1_STAND_030015600	678	596
PKA1H1_STAND_030015700	1966	678
PKA1H1_STAND_030015800	4952	1966
PKA1H1_STAND_030016000	2005	4952
PKA1H1_STAND_030016100	1102	2005
PKA1H1_STAND_030016200	234	1102
PKA1H1_STAND_030016300	9364	234
PKA1H1_STAND_030016600	587	9364
PKA1H1_STAND_030016700	4715	587
PKA1H1_STAND_030016900	4218	4715
PKA1H1_STAND_030017000	5614	4218
PKA1H1_STAND_030017100	11430	5614
PKA1H1_STAND_030017200	488	11430
PKA1H1_STAND_030017300	205	488
PKA1H1_STAND_030017400	1357	205
PKA1H1_STAND_030017500	1546	1357
PKA1H1_STAND_030017600	2723	1546
PKA1H1_STAND_030017700	1009	2723
PKA1H1_STAND_030017800	1885	1009
PKA1H1_STAND_030017900	6530	1885
PKA1H1_STAND_030018100	20004	6530
PKA1H1_STAND_030018300	20481	20004
PKA1H1_STAND_030018400	16038	20481
PKA1H1_STAND_030018600	2177	16038
PKA1H1_STAND_030018700	9047	2177
PKA1H1_STAND_030018800	1960	9047
PKA1H1_STAND_030018900	1587	1960
PKA1H1_STAND_030019000	5947	1587
PKA1H1_STAND_030019200	1312	5947
PKA1H1_STAND_030019300	23287	1312
PKA1H1_STAND_030019400	3171	23287
PKA1H1_STAND_030019500	2496	3171
PKA1H1_STAND_030019600	1292	2496
PKA1H1_STAND_030019700	651	1292
PKA1H1_STAND_030019800	1275	651
PKA1H1_STAND_030019900	1948	1275
PKA1H1_STAND_030020000	397	1948
PKA1H1_STAND_030020100	1690	397
PKA1H1_STAND_030020200	1893	1690
PKA1H1_STAND_030020300	2232	1893
PKA1H1_STAND_030020400	515	2232
PKA1H1_STAND_030020500	9799	515
PKA1H1_STAND_030020700	136	9799
PKA1H1_STAND_030020800	520	136
PKA1H1_STAND_030020900	455	520
PKA1H1_STAND_030021000	1867	455
PKA1H1_STAND_030021100	635	1867
PKA1H1_STAND_030021200	425	635
PKA1H1_STAND_030021300	1706	425
PKA1H1_STAND_030021400	856	1706
PKA1H1_STAND_030021500	160	856
PKA1H1_STAND_030021600	1725	160
PKA1H1_STAND_030021700	111	1725
PKA1H1_STAND_030021800	8691	111
PKA1H1_STAND_030022000	914	8691
PKA1H1_STAND_030022100	1459	914
PKA1H1_STAND_030022200	345	1459
PKA1H1_STAND_030022300	360	345
PKA1H1_STAND_030022400	3454	360
PKA1H1_STAND_030022500	1184	3454
PKA1H1_STAND_030022600	878	1184
PKA1H1_STAND_030022700	1596	878
PKA1H1_STAND_030022800	1067	1596
PKA1H1_STAND_030022900	1011	1067
PKA1H1_STAND_030023000	4793	1011
PKA1H1_STAND_030023200	476	4793
PKA1H1_STAND_030023300	827	476
PKA1H1_STAND_030023400	1133	827
PKA1H1_STAND_030023500	686	1133
PKA1H1_STAND_030023600	518	686
PKA1H1_STAND_030023700	2842	518
PKA1H1_STAND_030023900	1040	2842
PKA1H1_STAND_030024000	2121	1040
PKA1H1_STAND_030024100	432	2121
PKA1H1_STAND_030024200	1280	432
PKA1H1_STAND_030024300	798	1280
PKA1H1_STAND_030024400	794	798
PKA1H1_STAND_030024500	7934	794
PKA1H1_STAND_030024700	8756	7934
PKA1H1_STAND_030024900	3436	8756
PKA1H1_STAND_030025000	1396	3436
PKA1H1_STAND_030025100	1268	1396
PKA1H1_STAND_030025200	745	1268
PKA1H1_STAND_030025300	9260	745
PKA1H1_STAND_030025500	1541	9260
PKA1H1_STAND_030025600	10655	1541
PKA1H1_STAND_030025800	1665	10655
PKA1H1_STAND_030025900	515	1665
PKA1H1_STAND_030026000	497	515
PKA1H1_STAND_030026100	4853	497
PKA1H1_STAND_030026200	14348	4853
PKA1H1_STAND_030026300	1418	14348
PKA1H1_STAND_030026400	5370	1418
PKA1H1_STAND_030026500	11236	5370
PKA1H1_STAND_030026700	5603	11236
PKA1H1_STAND_030026800	2830	5603
PKA1H1_STAND_030026900	1628	2830
PKA1H1_STAND_030027000	14545	1628
PKA1H1_STAND_030027200	0	14545
PKA1H1_STAND_040005100	8633	0
PKA1H1_STAND_040005300	105	8633
PKA1H1_STAND_040005400	5930	105
PKA1H1_STAND_040005500	3711	5930
PKA1H1_STAND_040005600	3671	3711
PKA1H1_STAND_040005700	2054	3671
PKA1H1_STAND_040005800	2800	2054
PKA1H1_STAND_040005900	2065	2800
PKA1H1_STAND_040006000	3780	2065
PKA1H1_STAND_040006100	3383	3780
PKA1H1_STAND_040006200	2306	3383
PKA1H1_STAND_040006300	1793	2306
PKA1H1_STAND_040006400	1121	1793
PKA1H1_STAND_040006500	758	1121
PKA1H1_STAND_040006600	982	758
PKA1H1_STAND_040006700	534	982
PKA1H1_STAND_040006800	1391	534
PKA1H1_STAND_040006900	5005	1391
PKA1H1_STAND_040007000	8114	5005
PKA1H1_STAND_040007200	1497	8114
PKA1H1_STAND_040007300	787	1497
PKA1H1_STAND_040007400	2187	787
PKA1H1_STAND_040007500	675	2187
PKA1H1_STAND_040007600	775	675
PKA1H1_STAND_040007700	2058	775
PKA1H1_STAND_040007800	724	2058
PKA1H1_STAND_040007900	10792	724
PKA1H1_STAND_040008200	2722	10792
PKA1H1_STAND_040008300	1513	2722
PKA1H1_STAND_040008400	973	1513
PKA1H1_STAND_040008500	254	973
PKA1H1_STAND_040008600	1929	254
PKA1H1_STAND_040008700	273	1929
PKA1H1_STAND_040008800	1594	273
PKA1H1_STAND_040008900	7690	1594
PKA1H1_STAND_040009100	2488	7690
PKA1H1_STAND_040009200	1087	2488
PKA1H1_STAND_040009300	922	1087
PKA1H1_STAND_040009400	2151	922
PKA1H1_STAND_040009600	6591	2151
PKA1H1_STAND_040009800	1547	6591
PKA1H1_STAND_040009900	413	1547
PKA1H1_STAND_040010000	3615	413
PKA1H1_STAND_040010200	5633	3615
PKA1H1_STAND_040010400	2285	5633
PKA1H1_STAND_040010500	2262	2285
PKA1H1_STAND_040010600	1217	2262
PKA1H1_STAND_040010700	1843	1217
PKA1H1_STAND_040010800	2986	1843
PKA1H1_STAND_040010900	1247	2986
PKA1H1_STAND_040011000	2902	1247
PKA1H1_STAND_040011100	9311	2902
PKA1H1_STAND_040011400	2117	9311
PKA1H1_STAND_040011500	513	2117
PKA1H1_STAND_040011600	1543	513
PKA1H1_STAND_040011700	5485	1543
PKA1H1_STAND_040011800	77	5485
PKA1H1_STAND_040011900	5326	77
PKA1H1_STAND_040012000	6866	5326
PKA1H1_STAND_040012100	10389	6866
PKA1H1_STAND_040012300	1977	10389
PKA1H1_STAND_040012500	77	1977
PKA1H1_STAND_040012600	1246	77
PKA1H1_STAND_040012700	1725	1246
PKA1H1_STAND_040012800	1184	1725
PKA1H1_STAND_040012900	2469	1184
PKA1H1_STAND_040013000	694	2469
PKA1H1_STAND_040013100	907	694
PKA1H1_STAND_040013200	2319	907
PKA1H1_STAND_040013300	419	2319
PKA1H1_STAND_040013400	1423	419
PKA1H1_STAND_040013500	13715	1423
PKA1H1_STAND_040013700	2594	13715
PKA1H1_STAND_040013800	8392	2594
PKA1H1_STAND_040014000	1125	8392
PKA1H1_STAND_040014100	234	1125
PKA1H1_STAND_040014200	1802	234
PKA1H1_STAND_040014300	1632	1802
PKA1H1_STAND_040014400	41	1632
PKA1H1_STAND_040014500	1189	41
PKA1H1_STAND_040014600	1837	1189
PKA1H1_STAND_040014700	733	1837
PKA1H1_STAND_040014800	1012	733
PKA1H1_STAND_040014900	543	1012
PKA1H1_STAND_040015000	11278	543
PKA1H1_STAND_040015100	3868	11278
PKA1H1_STAND_040015200	1078	3868
PKA1H1_STAND_040015300	2358	1078
PKA1H1_STAND_040015400	530	2358
PKA1H1_STAND_040015500	716	530
PKA1H1_STAND_040015600	1124	716
PKA1H1_STAND_040015700	8317	1124
PKA1H1_STAND_040015800	454	8317
PKA1H1_STAND_040015900	1776	454
PKA1H1_STAND_040016000	3781	1776
PKA1H1_STAND_040016100	1965	3781
PKA1H1_STAND_040016200	1143	1965
PKA1H1_STAND_040016300	1539	1143
PKA1H1_STAND_040016400	753	1539
PKA1H1_STAND_040016500	2164	753
PKA1H1_STAND_040016700	1811	2164
PKA1H1_STAND_040016800	1000	1811
PKA1H1_STAND_040016900	1601	1000
PKA1H1_STAND_040017000	1622	1601
PKA1H1_STAND_040017100	966	1622
PKA1H1_STAND_040017200	410	966
PKA1H1_STAND_040017300	1454	410
PKA1H1_STAND_040017400	3646	1454
PKA1H1_STAND_040017500	571	3646
PKA1H1_STAND_040017600	1028	571
PKA1H1_STAND_040017700	328	1028
PKA1H1_STAND_040017800	1857	328
PKA1H1_STAND_040017900	2413	1857
PKA1H1_STAND_040018000	1760	2413
PKA1H1_STAND_040018100	1994	1760
PKA1H1_STAND_040018200	1083	1994
PKA1H1_STAND_040018300	1361	1083
PKA1H1_STAND_040018400	6931	1361
PKA1H1_STAND_040018600	1519	6931
PKA1H1_STAND_040018700	9754	1519
PKA1H1_STAND_040018900	1224	9754
PKA1H1_STAND_040019000	678	1224
PKA1H1_STAND_040019100	877	678
PKA1H1_STAND_040019200	8476	877
PKA1H1_STAND_040019400	1152	8476
PKA1H1_STAND_040019500	2285	1152
PKA1H1_STAND_040019600	6254	2285
PKA1H1_STAND_040019800	1891	6254
PKA1H1_STAND_040019900	292	1891
PKA1H1_STAND_040020000	1371	292
PKA1H1_STAND_040020100	2258	1371
PKA1H1_STAND_040020200	123	2258
PKA1H1_STAND_040020300	4571	123
PKA1H1_STAND_040020500	3284	4571
PKA1H1_STAND_040020700	211	3284
PKA1H1_STAND_040020800	708	211
PKA1H1_STAND_040020900	3273	708
PKA1H1_STAND_040021000	1557	3273
PKA1H1_STAND_040021100	1460	1557
PKA1H1_STAND_040021200	836	1460
PKA1H1_STAND_040021300	421	836
PKA1H1_STAND_040021400	13545	421
PKA1H1_STAND_040021700	1982	13545
PKA1H1_STAND_040021800	12307	1982
PKA1H1_STAND_040022000	840	12307
PKA1H1_STAND_040022100	1860	840
PKA1H1_STAND_040022200	1881	1860
PKA1H1_STAND_040022300	607	1881
PKA1H1_STAND_040022400	1472	607
PKA1H1_STAND_040022500	1681	1472
PKA1H1_STAND_040022600	621	1681
PKA1H1_STAND_040022700	1128	621
PKA1H1_STAND_040022800	10820	1128
PKA1H1_STAND_040023000	336	10820
PKA1H1_STAND_040023100	537	336
PKA1H1_STAND_040023200	640	537
PKA1H1_STAND_040023300	1018	640
PKA1H1_STAND_040023400	3364	1018
PKA1H1_STAND_040023500	4339	3364
PKA1H1_STAND_040023600	2797	4339
PKA1H1_STAND_040023700	11776	2797
PKA1H1_STAND_040024000	3719	11776
PKA1H1_STAND_040024100	1006	3719
PKA1H1_STAND_040024200	118	1006
PKA1H1_STAND_040024300	1623	118
PKA1H1_STAND_040024400	1931	1623
PKA1H1_STAND_040024500	1227	1931
