#gene_name	#distance_next_to_gene_after_end	#distance_before_to_gene
PKNH_0116400	454	1198
PKNH_0116500	2014	454
PKNH_0116600	485	2014
PKNH_0116700	3985	485
PKNH_0116800	709	3985
PKNH_0116900	2302	709
PKNH_0117000	7125	2302
PKNH_0117100	1123	7125
PKNH_0117200	2800	1123
PKNH_0117300	1084	2800
PKNH_0117400	2497	1084
PKNH_0117500	1350	2497
PKNH_0117600	2503	1350
PKNH_0117700	1301	2503
PKNH_0117800	4633	1301
PKNH_0117900	2168	4633
PKNH_0118000	3449	2168
PKNH_0118100	2650	3449
PKNH_0118200	1354	2650
PKNH_0118300	1571	1354
PKNH_0118400	2761	1571
PKNH_0118500	3297	2761
PKNH_0118600	0	3297
PKNH_0200100	5204	0
PKNH_0200200	9208	5204
PKNH_0200300	3607	9208
PKNH_0200400	3745	3607
PKNH_0200500	4150	3745
PKNH_0200600	1425	4150
PKNH_0200700	3996	1425
PKNH_0200800	4783	3996
PKNH_0200900	2933	4783
PKNH_0201000	526	2933
PKNH_0201100	4392	526
PKNH_0201200	6180	4392
PKNH_0201300	12241	6180
PKNH_0201600	169	12241
PKNH_0201700	1436	169
PKNH_0201800	2368	1436
PKNH_0201900	40	2368
PKNH_0202000	970	40
PKNH_0202100	1366	970
PKNH_0202200	1858	1366
PKNH_0202300	745	1858
PKNH_0202400	1567	745
PKNH_0202500	698	1567
PKNH_0202600	685	698
PKNH_0202700	4125	685
PKNH_0202800	1170	4125
PKNH_0202900	1010	1170
PKNH_0203000	3353	1010
PKNH_0203100	4189	3353
PKNH_0203200	830	4189
PKNH_0203300	2305	830
PKNH_0203400	1026	2305
PKNH_0203500	519	1026
PKNH_0203600	451	519
PKNH_0203700	261	451
PKNH_0203800	521	261
PKNH_0203850	184	521
PKNH_0203950	633	184
PKNH_0204000	1080	633
PKNH_0204100	462	1080
PKNH_0204200	840	462
PKNH_0204300	1046	840
PKNH_0204400	1562	1046
PKNH_0204500	628	1562
PKNH_0204600	384	628
PKNH_0204700	1280	384
PKNH_0204800	2593	1280
PKNH_0204900	1511	2593
PKNH_0205000	562	1511
PKNH_0205100	552	562
PKNH_0205200	2439	552
PKNH_0205300	952	2439
PKNH_0205400	4322	952
PKNH_0205500	1057	4322
PKNH_0205600	1456	1057
PKNH_0205700	48	1456
PKNH_0205800	800	48
PKNH_0205900	1032	800
PKNH_0206000	8486	1032
PKNH_0206100	965	8486
PKNH_0206200	1573	965
PKNH_0206300	353	1573
PKNH_0206400	155	353
PKNH_0206500	872	155
PKNH_0206600	1346	872
PKNH_0206700	1479	1346
PKNH_0206800	1133	1479
PKNH_0206900	815	1133
PKNH_0207000	1485	815
PKNH_0207100	2935	1485
PKNH_0207200	1009	2935
PKNH_0207300	1657	1009
PKNH_0207400	1431	1657
PKNH_0207500	331	1431
PKNH_0207600	1611	331
PKNH_0207700	860	1611
PKNH_0207800	9179	860
PKNH_0208000	5167	9179
PKNH_0208100	885	5167
PKNH_0208200	755	885
PKNH_0208300	1355	755
PKNH_0208400	1184	1355
PKNH_0208500	418	1184
PKNH_0208600	3002	418
PKNH_0208700	1376	3002
PKNH_0208800	774	1376
PKNH_0208900	524	774
PKNH_0209000	544	524
PKNH_0209100	817	544
PKNH_0209200	3254	817
PKNH_0209300	1343	3254
PKNH_0209400	2203	1343
PKNH_0209500	1295	2203
PKNH_0209600	2280	1295
PKNH_0209700	446	2280
PKNH_0209800	597	446
PKNH_0209900	837	597
PKNH_0210000	1957	837
PKNH_0210100	1458	1957
PKNH_0210200	1973	1458
PKNH_0210300	2313	1973
PKNH_0210400	1537	2313
PKNH_0210500	1138	1537
PKNH_0210600	1347	1138
PKNH_0210700	1149	1347
PKNH_0210800	1633	1149
PKNH_0210900	311	1633
PKNH_0211000	1991	311
PKNH_0211100	5190	1991
PKNH_0211200	505	5190
PKNH_0211300	203	505
PKNH_0211400	1353	203
PKNH_0211500	874	1353
PKNH_0211600	1080	874
PKNH_0211700	1855	1080
PKNH_0211800	1386	1855
PKNH_0211900	1149	1386
PKNH_0212000	725	1149
PKNH_0212100	1125	725
PKNH_0212200	183	1125
PKNH_0212300	2325	183
PKNH_0212400	2746	2325
PKNH_0212500	1013	2746
PKNH_0212600	1827	1013
PKNH_0212700	1453	1827
PKNH_0212800	635	1453
PKNH_0212900	748	635
PKNH_0213000	254	748
PKNH_0213100	2048	254
PKNH_0213200	490	2048
PKNH_0213300	2065	490
PKNH_0213400	104	2065
PKNH_0213500	618	104
PKNH_0213600	1615	618
PKNH_0213700	1184	1615
PKNH_0213800	947	1184
PKNH_0213900	1407	947
PKNH_0214000	6324	1407
PKNH_0214100	1611	6324
PKNH_0214200	5980	1611
PKNH_0214300	964	5980
PKNH_0214400	1344	964
PKNH_0214500	285	1344
PKNH_0214600	1895	285
PKNH_0214700	1843	1895
PKNH_0214800	344	1843
PKNH_0214900	756	344
PKNH_0215000	826	756
PKNH_0215100	8160	826
PKNH_0215200	3062	8160
PKNH_0215300	1355	3062
PKNH_0215400	3057	1355
PKNH_0215500	1101	3057
PKNH_0215600	2437	1101
PKNH_0215700	1399	2437
PKNH_0215800	3172	1399
PKNH_0215900	4734	3172
PKNH_0216000	2497	4734
PKNH_0216100	3943	2497
PKNH_0216200	1731	3943
PKNH_0216300	1978	1731
PKNH_0216400	1305	1978
PKNH_0216500	0	1305
PKNH_0300100	1223	0
PKNH_0300200	4594	1223
PKNH_0300300	3403	4594
PKNH_0300400	4810	3403
PKNH_0300500	3134	4810
PKNH_0300600	4168	3134
PKNH_0300700	2486	4168
PKNH_0300800	685	2486
PKNH_0300900	1319	685
PKNH_0301000	561	1319
PKNH_0301100	1766	561
PKNH_0301200	1650	1766
PKNH_0301300	1177	1650
PKNH_0301400	1385	1177
PKNH_0301500	1819	1385
PKNH_0301600	7466	1819
PKNH_0301700	2606	7466
PKNH_0301800	6674	2606
PKNH_0301900	631	6674
PKNH_0302000	1153	631
PKNH_0302100	3332	1153
PKNH_0302200	1039	3332
PKNH_0302300	2072	1039
PKNH_0302400	1731	2072
PKNH_0302500	1629	1731
PKNH_0302600	7769	1629
PKNH_0302700	376	7769
PKNH_0302800	998	376
PKNH_0302900	1519	998
PKNH_0303000	1365	1519
PKNH_0303100	1318	1365
PKNH_0303200	3257	1318
PKNH_0303300	1010	3257
PKNH_0303400	3363	1010
PKNH_0303500	662	3363
PKNH_0303600	1012	662
PKNH_0303700	577	1012
PKNH_0303800	3688	577
PKNH_0303900	1071	3688
PKNH_0304000	3070	1071
PKNH_0304100	1263	3070
PKNH_0304200	3471	1263
PKNH_0304300	1653	3471
PKNH_0304400	487	1653
PKNH_0304500	3454	487
PKNH_0304600	1004	3454
PKNH_0304700	111	1004
PKNH_0304800	844	111
PKNH_0304900	970	844
PKNH_0305000	912	970
PKNH_0305100	397	912
PKNH_0305200	1544	397
PKNH_0305300	848	1544
PKNH_0305400	2251	848
PKNH_0305500	2459	2251
PKNH_0305600	669	2459
PKNH_0305700	2218	669
PKNH_0305800	718	2218
PKNH_0305900	935	718
PKNH_0306000	3002	935
PKNH_0306100	1071	3002
PKNH_0306200	499	1071
PKNH_0306300	1360	499
PKNH_0306400	1075	1360
PKNH_0306500	4084	1075
PKNH_0306600	1000	4084
PKNH_0306700	2209	1000
PKNH_0306800	1653	2209
PKNH_0306900	704	1653
PKNH_0307000	929	704
PKNH_0307100	923	929
PKNH_0307200	5854	923
PKNH_0307300	1144	5854
PKNH_0307400	1544	1144
PKNH_0307500	444	1544
PKNH_0307600	1333	444
PKNH_0307700	1729	1333
PKNH_0307800	2180	1729
PKNH_0307900	616	2180
PKNH_0308000	1181	616
PKNH_0308100	1308	1181
PKNH_0308200	820	1308
PKNH_0308300	970	820
PKNH_0308400	2824	970
PKNH_0308500	435	2824
PKNH_0308600	2015	435
PKNH_0308700	625	2015
PKNH_0308800	2430	625
PKNH_0308900	552	2430
PKNH_0309000	2619	552
PKNH_0309100	736	2619
PKNH_0309200	324	736
PKNH_0309300	1206	324
PKNH_0309400	225	1206
PKNH_0309500	675	225
PKNH_0309600	571	675
PKNH_0309700	456	571
PKNH_0309800	944	456
PKNH_0309900	1275	944
PKNH_0310000	584	1275
PKNH_0310100	2666	584
PKNH_0310200	1381	2666
PKNH_0310300	596	1381
PKNH_0310400	678	596
PKNH_0310500	1980	678
PKNH_0310600	893	1980
PKNH_0310700	1188	893
PKNH_0310800	2013	1188
PKNH_0310900	1106	2013
PKNH_0311000	234	1106
PKNH_0311100	503	234
PKNH_0311200	598	503
PKNH_0311300	3564	598
PKNH_0311400	1060	3564
PKNH_0311500	2512	1060
PKNH_0311600	4227	2512
PKNH_0311700	1537	4227
PKNH_0311800	1115	1537
PKNH_0311900	9114	1115
PKNH_0312000	490	9114
PKNH_0312100	205	490
PKNH_0312200	1374	205
PKNH_0312300	1546	1374
PKNH_0312400	2731	1546
PKNH_0312500	1013	2731
PKNH_0312600	1893	1013
PKNH_0312700	1129	1893
PKNH_0312800	1375	1129
PKNH_0312900	1192	1375
PKNH_0313000	1393	1192
PKNH_0313100	12692	1393
PKNH_0313200	1839	12692
PKNH_0313300	11527	1839
PKNH_0313400	2188	11527
PKNH_0313500	1154	2188
PKNH_0313550	7372	1154
PKNH_0313600	1708	7372
PKNH_0313700	1587	1708
PKNH_0313800	1185	1587
PKNH_0313900	579	1185
PKNH_0314000	1318	579
PKNH_0314100	3829	1318
PKNH_0314200	2500	3829
PKNH_0314300	1295	2500
PKNH_0314400	580	1295
PKNH_0314500	1279	580
PKNH_0314600	1972	1279
PKNH_0314700	398	1972
PKNH_0314800	1696	398
PKNH_0314900	1904	1696
PKNH_0315000	2237	1904
PKNH_0315100	522	2237
PKNH_0315200	631	522
PKNH_0315300	416	631
PKNH_0315400	136	416
PKNH_0315500	516	136
PKNH_0315600	452	516
PKNH_0315700	1872	452
PKNH_0315800	641	1872
PKNH_0315900	427	641
PKNH_0316000	1718	427
PKNH_0316100	862	1718
PKNH_0316200	160	862
PKNH_0316300	1728	160
PKNH_0316400	2133	1728
PKNH_0316500	1146	2133
PKNH_0316600	921	1146
PKNH_0316700	1463	921
PKNH_0316800	346	1463
PKNH_0316900	373	346
PKNH_0317000	3470	373
PKNH_0317100	1189	3470
PKNH_0317200	890	1189
PKNH_0317300	1599	890
PKNH_0317400	1069	1599
PKNH_0317500	1021	1069
PKNH_0317600	436	1021
PKNH_0317700	1482	436
PKNH_0317800	477	1482
PKNH_0317900	829	477
PKNH_0318000	1151	829
PKNH_0318100	689	1151
PKNH_0318200	527	689
PKNH_0318300	1038	527
PKNH_0318400	1010	1038
PKNH_0318500	1044	1010
PKNH_0318600	2132	1044
PKNH_0318700	432	2132
PKNH_0318800	1287	432
PKNH_0318900	798	1287
PKNH_0319000	798	798
PKNH_0319100	1386	798
PKNH_0319200	465	1386
PKNH_0319300	2330	465
PKNH_0319400	1522	2330
PKNH_0319500	3443	1522
PKNH_0319600	1373	3443
PKNH_0319700	1263	1373
PKNH_0319800	752	1263
PKNH_0319900	403	752
PKNH_0320000	2649	403
PKNH_0320100	1554	2649
PKNH_0320200	2934	1554
PKNH_0320300	1096	2934
PKNH_0320400	1670	1096
PKNH_0320500	516	1670
PKNH_0320600	499	516
PKNH_0320700	4860	499
PKNH_0320800	2669	4860
PKNH_0320900	511	2669
PKNH_0321000	408	511
PKNH_0321100	2917	408
PKNH_0321200	1422	2917
PKNH_0321300	5207	1422
PKNH_0321400	1994	5207
PKNH_0321500	8140	1994
PKNH_0321600	5609	8140
PKNH_0321700	2832	5609
PKNH_0321800	1627	2832
PKNH_0321900	14542	1627
PKNH_0322000	4905	14542
PKNH_0322100	0	4905
PKNH_0400100	4554	0
PKNH_0400200	2328	4554
PKNH_0400300	5945	2328
PKNH_0400400	3715	5945
PKNH_0400500	3646	3715
PKNH_0400600	2055	3646
PKNH_0400700	2805	2055
PKNH_0400800	2070	2805
PKNH_0400900	3790	2070
PKNH_0401000	3382	3790
PKNH_0401100	2312	3382
PKNH_0401200	1799	2312
PKNH_0401300	1131	1799
PKNH_0401400	764	1131
PKNH_0401500	994	764
PKNH_0401600	534	994
PKNH_0401700	1397	534
PKNH_0401800	1689	1397
PKNH_0401900	261	1689
PKNH_0402000	460	261
PKNH_0402100	1741	460
PKNH_0402200	1047	1741
PKNH_0402300	1564	1047
PKNH_0402400	1500	1564
PKNH_0402500	788	1500
PKNH_0402600	2191	788
PKNH_0402700	676	2191
PKNH_0402800	779	676
PKNH_0402900	2062	779
PKNH_0403000	725	2062
PKNH_0403100	2170	725
PKNH_0403200	1198	2170
PKNH_0403300	815	1198
PKNH_0403400	2737	815
PKNH_0403500	1514	2737
PKNH_0403600	975	1514
PKNH_0403700	254	975
PKNH_0403800	1955	254
PKNH_0403900	273	1955
PKNH_0404000	1594	273
PKNH_0404100	552	1594
PKNH_0404200	1799	552
PKNH_0404300	2502	1799
PKNH_0404400	1110	2502
PKNH_0404500	923	1110
PKNH_0404600	803	923
PKNH_0404700	593	803
PKNH_0404800	300	593
PKNH_0404900	1561	300
PKNH_0405000	1550	1561
PKNH_0405100	422	1550
PKNH_0405200	1902	422
PKNH_0405300	652	1902
PKNH_0405400	2430	652
PKNH_0405500	818	2430
PKNH_0405600	2292	818
PKNH_0405700	2270	2292
PKNH_0405800	1213	2270
PKNH_0405900	1850	1213
PKNH_0406000	2980	1850
PKNH_0406100	1253	2980
PKNH_0406200	2920	1253
PKNH_0406300	1631	2920
PKNH_0406400	513	1631
PKNH_0406500	848	513
PKNH_0406600	2119	848
PKNH_0406700	513	2119
PKNH_0406800	1540	513
PKNH_0406900	5469	1540
PKNH_0407000	51	5469
PKNH_0407100	5412	51
PKNH_0407200	6872	5412
PKNH_0407300	1887	6872
PKNH_0407400	881	1887
PKNH_0407500	-5	881
PKNH_0407600	359	-5
PKNH_0407700	77	359
PKNH_0407800	1246	77
PKNH_0407900	1726	1246
PKNH_0408000	1187	1726
PKNH_0408100	2471	1187
PKNH_0408200	695	2471
PKNH_0408300	912	695
PKNH_0408400	2193	912
PKNH_0408500	419	2193
PKNH_0408600	1432	419
PKNH_0408700	2460	1432
PKNH_0408800	775	2460
PKNH_0408900	2603	775
PKNH_0409000	823	2603
PKNH_0409100	2921	823
PKNH_0409200	1132	2921
PKNH_0409300	234	1132
PKNH_0409400	1803	234
PKNH_0409500	1643	1803
PKNH_0409600	41	1643
PKNH_0409700	1211	41
PKNH_0409800	1844	1211
PKNH_0409900	737	1844
PKNH_0410000	1015	737
PKNH_0410100	543	1015
PKNH_0410200	11090	543
PKNH_0410300	3875	11090
PKNH_0410400	1077	3875
PKNH_0410500	2365	1077
PKNH_0410600	532	2365
PKNH_0410700	723	532
PKNH_0410800	1127	723
PKNH_0410900	2089	1127
PKNH_0411000	457	2089
PKNH_0411100	1780	457
PKNH_0411200	3790	1780
PKNH_0411300	1968	3790
PKNH_0411400	1144	1968
PKNH_0411500	1543	1144
PKNH_0411600	753	1543
PKNH_0411700	406	753
PKNH_0411800	757	406
PKNH_0411900	1810	757
PKNH_0412000	1004	1810
PKNH_0412100	1605	1004
PKNH_0412200	1636	1605
PKNH_0412300	970	1636
PKNH_0412400	412	970
PKNH_0412500	1457	412
PKNH_0412600	3665	1457
PKNH_0412700	586	3665
PKNH_0412800	1035	586
PKNH_0412900	330	1035
PKNH_0413000	1856	330
PKNH_0413100	2414	1856
PKNH_0413200	1763	2414
PKNH_0413300	1998	1763
PKNH_0413400	1083	1998
PKNH_0413500	1367	1083
PKNH_0413600	1084	1367
PKNH_0413700	2183	1084
PKNH_0413800	1526	2183
PKNH_0413900	849	1526
PKNH_0414000	3539	849
PKNH_0414100	1228	3539
PKNH_0414200	680	1228
PKNH_0414300	879	680
PKNH_0414400	4582	879
PKNH_0414500	602	4582
PKNH_0414600	1157	602
PKNH_0414700	2298	1157
PKNH_0414800	1291	2298
PKNH_0414900	683	1291
PKNH_0415000	1896	683
PKNH_0415100	295	1896
PKNH_0415200	1377	295
PKNH_0415300	2262	1377
PKNH_0415400	123	2262
PKNH_0415500	1071	123
PKNH_0415600	877	1071
PKNH_0415700	622	877
PKNH_0415800	553	622
PKNH_0415900	211	553
PKNH_0416000	712	211
PKNH_0416100	3276	712
PKNH_0416200	1560	3276
PKNH_0416300	1468	1560
PKNH_0416400	836	1468
PKNH_0416500	421	836
PKNH_0416600	3900	421
PKNH_0416700	1983	3900
PKNH_0416900	3926	1983
PKNH_0417000	1310	3926
PKNH_0417100	846	1310
PKNH_0417200	1870	846
PKNH_0417300	1887	1870
PKNH_0417400	607	1887
PKNH_0417500	1473	607
PKNH_0417600	1688	1473
PKNH_0417700	621	1688
PKNH_0417800	1130	621
PKNH_0417900	1240	1130
PKNH_0418000	3196	1240
PKNH_0418100	336	3196
PKNH_0418200	538	336
PKNH_0418300	641	538
PKNH_0418400	1022	641
PKNH_0418500	3366	1022
PKNH_0418600	4345	3366
PKNH_0418700	2802	4345
PKNH_0418800	1474	2802
PKNH_0418900	3565	1474
PKNH_0419000	1012	3565
PKNH_0419100	121	1012
PKNH_0419200	1621	121
PKNH_0419300	1936	1621
PKNH_0419400	1230	1936
PKNH_0419500	1044	1230
PKNH_0419600	746	1044
PKNH_0419700	473	746
PKNH_0419800	2845	473
PKNH_0419900	710	2845
PKNH_0420000	4397	710
PKNH_0420100	4320	4397
PKNH_0420200	210	4320
PKNH_0420300	1167	210
PKNH_0420400	3109	1167
PKNH_0420500	356	3109
PKNH_0420600	791	356
PKNH_0420700	915	791
PKNH_0420800	3304	915
PKNH_0420900	803	3304
PKNH_0421000	1701	803
PKNH_0421100	1625	1701
PKNH_0421200	1484	1625
PKNH_0421300	2486	1484
PKNH_0421400	838	2486
PKNH_0421500	1431	838
PKNH_0421600	169	1431
PKNH_0421700	2432	169
PKNH_0421800	808	2432
PKNH_0421900	3007	808
PKNH_0422000	1724	3007
PKNH_0422100	447	1724
PKNH_0422200	3443	447
PKNH_0422300	3451	3443
PKNH_0422400	360	3451
PKNH_0422500	2408	360
PKNH_0422600	1845	2408
PKNH_0422700	6	1845
PKNH_0422800	3158	6
PKNH_0422900	1367	3158
PKNH_0423000	743	1367
PKNH_0423100	556	743
PKNH_0423200	1710	556
PKNH_0423300	131	1710
PKNH_0423400	683	131
PKNH_0423500	2002	683
PKNH_0423600	6839	2002
PKNH_0423700	1945	6839
PKNH_0423800	660	1945
PKNH_0423900	4661	660
PKNH_0424000	2427	4661
PKNH_0424100	1494	2427
PKNH_0424200	1349	1494
PKNH_0424300	593	1349
PKNH_0424400	2086	593
PKNH_0424500	3379	2086
PKNH_0424600	1728	3379
PKNH_0424700	7264	1728
PKNH_0424800	0	7264
PKNH_0500100	5026	0
PKNH_0500200	278	5026
PKNH_0500300	4313	278
PKNH_0500400	509	4313
PKNH_0500500	4616	509
PKNH_0500600	1379	4616
PKNH_0500700	729	1379
PKNH_0500800	4874	729
PKNH_0500900	3751	4874
PKNH_0501000	2794	3751
PKNH_0501100	2859	2794
PKNH_0501200	1489	2859
PKNH_0501300	2818	1489
PKNH_0501400	5925	2818
PKNH_0501500	810	5925
PKNH_0501600	3036	810
PKNH_0501700	2101	3036
PKNH_0501800	2667	2101
PKNH_0501900	2375	2667
PKNH_0502000	3339	2375
PKNH_0502100	2197	3339
PKNH_0502200	1932	2197
PKNH_0502300	1537	1932
PKNH_0502400	2799	1537
PKNH_0502500	945	2799
PKNH_0502600	988	945
PKNH_0502700	2072	988
PKNH_0502800	566	2072
PKNH_0502900	547	566
PKNH_0503000	4971	547
PKNH_0503100	104	4971
PKNH_0503200	995	104
PKNH_0503300	1858	995
PKNH_0503400	1036	1858
PKNH_0503500	1781	1036
PKNH_0503600	164	1781
PKNH_0503700	1001	164
PKNH_0503800	754	1001
PKNH_0503900	2031	754
PKNH_0504000	1741	2031
PKNH_0504100	1042	1741
PKNH_0504200	194	1042
PKNH_0504300	972	194
PKNH_0504400	695	972
PKNH_0504500	1968	695
PKNH_0504600	1470	1968
PKNH_0504700	1422	1470
PKNH_0504800	113	1422
PKNH_0504900	1369	113
PKNH_0505000	994	1369
PKNH_0505100	490	994
PKNH_0505200	1514	490
PKNH_0505300	2203	1514
PKNH_0505400	363	2203
PKNH_0505500	820	363
PKNH_0505600	1049	820
PKNH_0505700	7970	1049
PKNH_0505800	1817	7970
PKNH_0505900	1634	1817
PKNH_0506000	471	1634
PKNH_0506100	1274	471
PKNH_0506200	1353	1274
PKNH_0506300	754	1353
PKNH_0506400	2438	754
PKNH_0506500	745	2438
PKNH_0506600	1116	745
PKNH_0506700	36	1116
PKNH_0506800	3089	36
PKNH_0506900	676	3089
PKNH_0507000	1516	676
PKNH_0507100	373	1516
PKNH_0507200	1154	373
PKNH_0507300	843	1154
PKNH_0507400	1170	843
PKNH_0507500	4420	1170
PKNH_0507600	1981	4420
PKNH_0507700	4627	1981
PKNH_0507800	1388	4627
PKNH_0507900	7693	1388
PKNH_0508000	4619	7693
PKNH_0508100	1591	4619
PKNH_0508200	3310	1591
PKNH_0508300	1358	3310
PKNH_0508400	2924	1358
PKNH_0508500	354	2924
PKNH_0508600	859	354
PKNH_0508700	2770	859
PKNH_0508800	536	2770
PKNH_0508900	2423	536
PKNH_0509000	748	2423
PKNH_0509100	1788	748
