geneid	fiveprime	threeprime	Class
PKA1H1_STAND_010010400	959	878	NA
PKA1H1_STAND_010010500	882	959	NA
PKA1H1_STAND_010010600	105	882	NA
PKA1H1_STAND_010010700	6707	105	NA
PKA1H1_STAND_010010800	2256	6707	NA
PKA1H1_STAND_010010900	2129	2256	NA
PKA1H1_STAND_010011000	1200	2129	NA
PKA1H1_STAND_010011100	3937	1200	NA
PKA1H1_STAND_010011200	5938	3937	NA
PKA1H1_STAND_010011400	1413	5938	busco
PKA1H1_STAND_010011500	944	1413	NA
PKA1H1_STAND_010011600	264	944	NA
PKA1H1_STAND_010011700	963	264	NA
PKA1H1_STAND_010011800	895	963	NA
PKA1H1_STAND_010011900	11400	895	NA
PKA1H1_STAND_010012200	1065	11400	NA
PKA1H1_STAND_010012300	3765	1065	NA
PKA1H1_STAND_010012400	695	3765	NA
PKA1H1_STAND_010012500	2523	695	NA
PKA1H1_STAND_010012600	2415	2523	NA
PKA1H1_STAND_010012700	721	2415	NA
PKA1H1_STAND_010012800	386	721	NA
PKA1H1_STAND_010012900	8792	386	NA
PKA1H1_STAND_010013100	5959	8792	NA
PKA1H1_STAND_010013300	1613	5959	NA
PKA1H1_STAND_010013400	1938	1613	NA
PKA1H1_STAND_010013500	25460	1938	NA
PKA1H1_STAND_010013900	421	25460	NA
PKA1H1_STAND_010014000	853	421	NA
PKA1H1_STAND_010014100	325	853	NA
PKA1H1_STAND_010014200	1165	325	NA
PKA1H1_STAND_010014300	4174	1165	NA
PKA1H1_STAND_010014500	514	4174	NA
PKA1H1_STAND_010014600	6158	514	NA
PKA1H1_STAND_010014800	6930	6158	NA
PKA1H1_STAND_010015000	429	6930	NA
PKA1H1_STAND_010015100	3387	429	NA
PKA1H1_STAND_010015200	1850	3387	NA
PKA1H1_STAND_010015300	53	1850	NA
PKA1H1_STAND_010015400	1100	53	NA
PKA1H1_STAND_010015500	3108	1100	NA
PKA1H1_STAND_010015600	10935	3108	NA
PKA1H1_STAND_010015900	1411	10935	busco
PKA1H1_STAND_010016000	2364	1411	NA
PKA1H1_STAND_010016200	593	2364	NA
PKA1H1_STAND_010016300	889	593	NA
PKA1H1_STAND_010016400	1199	889	NA
PKA1H1_STAND_010016500	1722	1199	NA
PKA1H1_STAND_010016600	2555	1722	NA
PKA1H1_STAND_010016700	1596	2555	NA
PKA1H1_STAND_010016800	356	1596	NA
PKA1H1_STAND_010016900	687	356	NA
PKA1H1_STAND_010017000	2146	687	NA
PKA1H1_STAND_010017100	645	2146	NA
PKA1H1_STAND_010017200	8936	645	NA
PKA1H1_STAND_010017400	1881	8936	NA
PKA1H1_STAND_010017500	814	1881	NA
PKA1H1_STAND_010017600	6601	814	NA
PKA1H1_STAND_010017800	952	6601	NA
PKA1H1_STAND_010017900	804	952	NA
PKA1H1_STAND_010018000	767	804	NA
PKA1H1_STAND_010018100	7092	767	NA
PKA1H1_STAND_010018300	1488	7092	NA
PKA1H1_STAND_010018400	14377	1488	NA
PKA1H1_STAND_010018500	4158	14377	sicavarI
PKA1H1_STAND_010018600	6608	4158	KIR
PKA1H1_STAND_010018800	7469	6608	NA
PKA1H1_STAND_010018900	1675	7469	NA
PKA1H1_STAND_010019000	2828	1675	NA
PKA1H1_STAND_010019100	2717	2828	NA
PKA1H1_STAND_010019200	2277	2717	NA
PKA1H1_STAND_010019300	624	2277	NA
PKA1H1_STAND_010019400	11640	624	NA
PKA1H1_STAND_010019700	33	11640	NA
PKA1H1_STAND_010019800	5768	33	NA
PKA1H1_STAND_010019900	945	5768	NA
PKA1H1_STAND_010020000	1067	945	NA
PKA1H1_STAND_010020100	3208	1067	busco
PKA1H1_STAND_010020200	324	3208	busco
PKA1H1_STAND_010020300	1813	324	NA
PKA1H1_STAND_010020400	2482	1813	NA
PKA1H1_STAND_010020500	1927	2482	NA
PKA1H1_STAND_010020600	1284	1927	NA
PKA1H1_STAND_010020700	2370	1284	NA
PKA1H1_STAND_010020800	4586	2370	NA
PKA1H1_STAND_010021000	613	4586	NA
PKA1H1_STAND_010021100	544	613	NA
PKA1H1_STAND_010021200	1861	544	NA
PKA1H1_STAND_010021300	12086	1861	NA
PKA1H1_STAND_010021600	53	12086	NA
PKA1H1_STAND_010021700	1999	53	NA
PKA1H1_STAND_010021800	484	1999	NA
PKA1H1_STAND_010021900	12495	484	NA
PKA1H1_STAND_010022100	19710	12495	NA
PKA1H1_STAND_010022300	1121	19710	NA
PKA1H1_STAND_010022400	2783	1121	NA
PKA1H1_STAND_010022500	1076	2783	NA
PKA1H1_STAND_010022600	2479	1076	busco
PKA1H1_STAND_010022700	1349	2479	NA
PKA1H1_STAND_010022800	2501	1349	NA
PKA1H1_STAND_010022900	11831	2501	NA
PKA1H1_STAND_010023000	2164	11831	NA
PKA1H1_STAND_010023100	3444	2164	NA
PKA1H1_STAND_010023200	2651	3444	NA
PKA1H1_STAND_010023300	1354	2651	NA
PKA1H1_STAND_010023400	5383	1354	NA
PKA1H1_STAND_010023600	20206	5383	sicavarII
PKA1H1_STAND_010024000	0	20206	NA
PKA1H1_STAND_020005000	276	0	sicavarI
PKA1H1_STAND_020005100	14465	276	NA
PKA1H1_STAND_020005200	9521	14465	NA
PKA1H1_STAND_020005400	3599	9521	sicavarII
PKA1H1_STAND_020005500	9022	3599	NA
PKA1H1_STAND_020005700	1421	9022	NA
PKA1H1_STAND_020005800	3979	1421	NA
PKA1H1_STAND_020005900	4761	3979	NA
PKA1H1_STAND_020006000	2923	4761	NA
PKA1H1_STAND_020006100	527	2923	NA
PKA1H1_STAND_020006200	4387	527	NA
PKA1H1_STAND_020006300	2005	4387	NA
PKA1H1_STAND_020006400	3852	2005	NA
PKA1H1_STAND_020006500	10217	3852	NA
PKA1H1_STAND_020006600	1721	10217	NA
PKA1H1_STAND_020006700	169	1721	NA
PKA1H1_STAND_020006800	6926	169	NA
PKA1H1_STAND_020007000	1825	6926	NA
PKA1H1_STAND_020007200	1361	1825	NA
PKA1H1_STAND_020007300	1846	1361	NA
PKA1H1_STAND_020007400	737	1846	NA
PKA1H1_STAND_020007500	1565	737	NA
PKA1H1_STAND_020007600	692	1565	NA
PKA1H1_STAND_020007700	684	692	NA
PKA1H1_STAND_020007800	4122	684	KIR
PKA1H1_STAND_020007900	19864	4122	KIR
PKA1H1_STAND_020008300	4183	19864	NA
PKA1H1_STAND_020008400	14616	4183	NA
PKA1H1_STAND_020008700	513	14616	NA
PKA1H1_STAND_020008800	451	513	NA
PKA1H1_STAND_020008900	260	451	NA
PKA1H1_STAND_020009000	520	260	NA
PKA1H1_STAND_020009100	183	520	NA
PKA1H1_STAND_020009200	638	183	NA
PKA1H1_STAND_020009300	1078	638	busco
PKA1H1_STAND_020009400	461	1078	NA
PKA1H1_STAND_020009500	838	461	NA
PKA1H1_STAND_020009600	1039	838	NA
PKA1H1_STAND_020009700	3300	1039	NA
PKA1H1_STAND_020009900	384	3300	NA
PKA1H1_STAND_020010000	1262	384	NA
PKA1H1_STAND_020010100	2568	1262	NA
PKA1H1_STAND_020010200	1504	2568	NA
PKA1H1_STAND_020010300	561	1504	NA
PKA1H1_STAND_020010400	551	561	NA
PKA1H1_STAND_020010500	2426	551	NA
PKA1H1_STAND_020010600	948	2426	NA
PKA1H1_STAND_020010700	4305	948	NA
PKA1H1_STAND_020010800	1259	4305	NA
PKA1H1_STAND_020010900	1454	1259	NA
PKA1H1_STAND_020011000	48	1454	NA
PKA1H1_STAND_020011100	793	48	busco
PKA1H1_STAND_020011200	1033	793	NA
PKA1H1_STAND_020011300	8464	1033	sicavarI
PKA1H1_STAND_020011400	964	8464	NA
PKA1H1_STAND_020011500	1570	964	NA
PKA1H1_STAND_020011600	343	1570	NA
PKA1H1_STAND_020011700	155	343	NA
PKA1H1_STAND_020011800	870	155	NA
PKA1H1_STAND_020011900	1337	870	NA
PKA1H1_STAND_020012000	1464	1337	NA
PKA1H1_STAND_020012100	1126	1464	NA
PKA1H1_STAND_020012200	808	1126	NA
PKA1H1_STAND_020012300	1480	808	NA
PKA1H1_STAND_020012400	7721	1480	NA
PKA1H1_STAND_020012600	1648	7721	NA
PKA1H1_STAND_020012700	1429	1648	busco
PKA1H1_STAND_020012800	331	1429	NA
PKA1H1_STAND_020012900	5435	331	NA
PKA1H1_STAND_020013100	2826	5435	NA
PKA1H1_STAND_020013200	44	2826	NA
PKA1H1_STAND_020013300	4482	44	NA
PKA1H1_STAND_020013600	5210	4482	sicavarI
PKA1H1_STAND_020013700	887	5210	NA
PKA1H1_STAND_020013800	751	887	NA
PKA1H1_STAND_020013900	1356	751	NA
PKA1H1_STAND_020014000	1209	1356	NA
PKA1H1_STAND_020014100	415	1209	NA
PKA1H1_STAND_020014200	2993	415	NA
PKA1H1_STAND_020014300	4063	2993	NA
PKA1H1_STAND_020014500	520	4063	NA
PKA1H1_STAND_020014600	543	520	NA
PKA1H1_STAND_020014700	14931	543	NA
PKA1H1_STAND_020014900	1337	14931	NA
PKA1H1_STAND_020015000	2195	1337	NA
PKA1H1_STAND_020015100	1289	2195	NA
PKA1H1_STAND_020015200	2272	1289	NA
PKA1H1_STAND_020015300	447	2272	NA
PKA1H1_STAND_020015400	19952	447	NA
PKA1H1_STAND_020015800	1970	19952	NA
PKA1H1_STAND_020015900	2305	1970	NA
PKA1H1_STAND_020016000	6785	2305	KIR
PKA1H1_STAND_020016200	1340	6785	NA
PKA1H1_STAND_020016300	1151	1340	NA
PKA1H1_STAND_020016400	1629	1151	NA
PKA1H1_STAND_020016500	309	1629	NA
PKA1H1_STAND_020016600	16642	309	NA
PKA1H1_STAND_020016800	502	16642	NA
PKA1H1_STAND_020016900	203	502	NA
PKA1H1_STAND_020017000	1348	203	NA
PKA1H1_STAND_020017100	4503	1348	NA
PKA1H1_STAND_020017300	1855	4503	NA
PKA1H1_STAND_020017400	1383	1855	NA
PKA1H1_STAND_020017500	1146	1383	NA
PKA1H1_STAND_020017600	725	1146	NA
PKA1H1_STAND_020017700	1122	725	NA
PKA1H1_STAND_020017800	183	1122	NA
PKA1H1_STAND_020017900	2328	183	NA
PKA1H1_STAND_020018000	2731	2328	NA
PKA1H1_STAND_020018100	1011	2731	NA
PKA1H1_STAND_020018200	1823	1011	busco
PKA1H1_STAND_020018300	1441	1823	NA
PKA1H1_STAND_020018400	631	1441	NA
PKA1H1_STAND_020018500	747	631	NA
PKA1H1_STAND_020018600	254	747	NA
PKA1H1_STAND_020018700	8845	254	NA
PKA1H1_STAND_020018900	2056	8845	NA
PKA1H1_STAND_020019000	104	2056	NA
PKA1H1_STAND_020019100	964	104	NA
PKA1H1_STAND_020019200	1613	964	NA
PKA1H1_STAND_020019300	1176	1613	NA
PKA1H1_STAND_020019400	4997	1176	NA
PKA1H1_STAND_020019600	6322	4997	NA
PKA1H1_STAND_020019700	6243	6322	sicavarI
PKA1H1_STAND_020019800	5978	6243	sicavarI
PKA1H1_STAND_020019900	4713	5978	KIR
PKA1H1_STAND_020020100	285	4713	NA
PKA1H1_STAND_020020200	1889	285	NA
PKA1H1_STAND_020020300	1840	1889	NA
PKA1H1_STAND_020020400	344	1840	NA
PKA1H1_STAND_020020500	756	344	NA
PKA1H1_STAND_020020600	826	756	NA
PKA1H1_STAND_020020700	8154	826	NA
PKA1H1_STAND_020020800	3054	8154	NA
PKA1H1_STAND_020020900	1354	3054	NA
PKA1H1_STAND_020021000	3059	1354	NA
PKA1H1_STAND_020021100	1099	3059	NA
PKA1H1_STAND_020021200	2435	1099	NA
PKA1H1_STAND_020021300	1399	2435	NA
PKA1H1_STAND_020021400	3166	1399	NA
PKA1H1_STAND_020021500	4726	3166	NA
PKA1H1_STAND_020021600	2490	4726	NA
PKA1H1_STAND_020021700	3940	2490	NA
PKA1H1_STAND_020021800	1732	3940	NA
PKA1H1_STAND_020021900	1973	1732	NA
PKA1H1_STAND_020022000	0	1973	NA
PKA1H1_STAND_030005100	4578	0	sicavarII
PKA1H1_STAND_030005200	3372	4578	NA
PKA1H1_STAND_030005300	4800	3372	sicavarII
PKA1H1_STAND_030005400	3125	4800	NA
PKA1H1_STAND_030005500	4157	3125	NA
PKA1H1_STAND_030005600	2485	4157	NA
PKA1H1_STAND_030005700	3761	2485	NA
PKA1H1_STAND_030005900	960	3761	NA
PKA1H1_STAND_030006000	1795	960	NA
PKA1H1_STAND_030006100	5865	1795	NA
PKA1H1_STAND_030006200	1641	5865	NA
PKA1H1_STAND_030006300	1175	1641	NA
PKA1H1_STAND_030006400	1385	1175	NA
PKA1H1_STAND_030006500	1806	1385	NA
PKA1H1_STAND_030006600	7457	1806	NA
PKA1H1_STAND_030006700	2602	7457	busco
PKA1H1_STAND_030006800	6654	2602	NA
PKA1H1_STAND_030006900	631	6654	NA
PKA1H1_STAND_030007000	15123	631	NA
PKA1H1_STAND_030007200	1032	15123	NA
PKA1H1_STAND_030007300	2067	1032	NA
PKA1H1_STAND_030007400	1734	2067	NA
PKA1H1_STAND_030007500	1625	1734	NA
PKA1H1_STAND_030007600	20352	1625	NA
PKA1H1_STAND_030007800	992	20352	NA
PKA1H1_STAND_030007900	1516	992	NA
PKA1H1_STAND_030008000	1361	1516	NA
PKA1H1_STAND_030008100	9828	1361	NA
PKA1H1_STAND_030008300	1007	9828	NA
PKA1H1_STAND_030008400	3361	1007	NA
PKA1H1_STAND_030008500	659	3361	busco
PKA1H1_STAND_030008600	1010	659	NA
PKA1H1_STAND_030008700	571	1010	NA
PKA1H1_STAND_030008800	3679	571	NA
PKA1H1_STAND_030008900	1069	3679	NA
PKA1H1_STAND_030009000	3050	1069	NA
PKA1H1_STAND_030009100	1261	3050	NA
PKA1H1_STAND_030009200	3455	1261	NA
PKA1H1_STAND_030009300	1652	3455	NA
PKA1H1_STAND_030009400	6241	1652	NA
PKA1H1_STAND_030009600	1001	6241	NA
PKA1H1_STAND_030009700	111	1001	NA
PKA1H1_STAND_030009800	842	111	NA
PKA1H1_STAND_030009900	623	842	NA
PKA1H1_STAND_030010000	2445	623	NA
PKA1H1_STAND_030010200	1541	2445	NA
PKA1H1_STAND_030010300	844	1541	NA
PKA1H1_STAND_030010400	2249	844	NA
PKA1H1_STAND_030010500	6542	2249	NA
PKA1H1_STAND_030010700	4529	6542	NA
PKA1H1_STAND_030010800	713	4529	NA
PKA1H1_STAND_030010900	930	713	NA
PKA1H1_STAND_030011000	7214	930	NA
PKA1H1_STAND_030011200	393	7214	NA
PKA1H1_STAND_030011300	1355	393	NA
PKA1H1_STAND_030011400	1073	1355	NA
PKA1H1_STAND_030011500	4063	1073	NA
PKA1H1_STAND_030011600	7027	4063	NA
PKA1H1_STAND_030011800	1645	7027	NA
PKA1H1_STAND_030011900	7951	1645	NA
PKA1H1_STAND_030012100	924	7951	NA
PKA1H1_STAND_030012200	17763	924	busco
PKA1H1_STAND_030012600	1542	17763	NA
PKA1H1_STAND_030012700	444	1542	NA
PKA1H1_STAND_030012800	6633	444	NA
PKA1H1_STAND_030013000	4330	6633	NA
PKA1H1_STAND_030013200	4258	4330	NA
PKA1H1_STAND_030013400	820	4258	NA
PKA1H1_STAND_030013500	969	820	NA
PKA1H1_STAND_030013600	2817	969	NA
PKA1H1_STAND_030013700	435	2817	busco
PKA1H1_STAND_030013800	2002	435	NA
PKA1H1_STAND_030013900	625	2002	NA
PKA1H1_STAND_030014000	2419	625	NA
PKA1H1_STAND_030014100	548	2419	NA
PKA1H1_STAND_030014200	6156	548	NA
PKA1H1_STAND_030014400	6578	6156	NA
PKA1H1_STAND_030014700	672	6578	NA
PKA1H1_STAND_030014800	568	672	NA
PKA1H1_STAND_030014900	457	568	NA
PKA1H1_STAND_030015000	19919	457	NA
PKA1H1_STAND_030015300	2656	19919	NA
PKA1H1_STAND_030015400	1380	2656	NA
PKA1H1_STAND_030015500	596	1380	NA
PKA1H1_STAND_030015600	678	596	NA
PKA1H1_STAND_030015700	1966	678	NA
PKA1H1_STAND_030015800	4952	1966	NA
PKA1H1_STAND_030016000	2005	4952	NA
PKA1H1_STAND_030016100	1102	2005	NA
PKA1H1_STAND_030016200	234	1102	NA
PKA1H1_STAND_030016300	9364	234	NA
PKA1H1_STAND_030016600	587	9364	sicavarI
PKA1H1_STAND_030016700	4715	587	NA
PKA1H1_STAND_030016900	4218	4715	busco
PKA1H1_STAND_030017000	5614	4218	NA
PKA1H1_STAND_030017100	11430	5614	sicavarII
PKA1H1_STAND_030017200	488	11430	KIR
PKA1H1_STAND_030017300	205	488	NA
PKA1H1_STAND_030017400	1357	205	NA
PKA1H1_STAND_030017500	1546	1357	NA
PKA1H1_STAND_030017600	2723	1546	NA
PKA1H1_STAND_030017700	1009	2723	NA
PKA1H1_STAND_030017800	1885	1009	NA
PKA1H1_STAND_030017900	6530	1885	NA
PKA1H1_STAND_030018100	20004	6530	NA
PKA1H1_STAND_030018300	20481	20004	NA
PKA1H1_STAND_030018400	16038	20481	sicavarI
PKA1H1_STAND_030018600	2177	16038	sicavarI
PKA1H1_STAND_030018700	9047	2177	NA
PKA1H1_STAND_030018800	1960	9047	NA
PKA1H1_STAND_030018900	1587	1960	NA
PKA1H1_STAND_030019000	5947	1587	busco
PKA1H1_STAND_030019200	1312	5947	NA
PKA1H1_STAND_030019300	23287	1312	sicavarI
PKA1H1_STAND_030019400	3171	23287	NA
PKA1H1_STAND_030019500	2496	3171	NA
PKA1H1_STAND_030019600	1292	2496	NA
PKA1H1_STAND_030019700	651	1292	NA
PKA1H1_STAND_030019800	1275	651	NA
PKA1H1_STAND_030019900	1948	1275	NA
PKA1H1_STAND_030020000	397	1948	busco
PKA1H1_STAND_030020100	1690	397	NA
PKA1H1_STAND_030020200	1893	1690	NA
PKA1H1_STAND_030020300	2232	1893	NA
PKA1H1_STAND_030020400	515	2232	busco
PKA1H1_STAND_030020500	9799	515	NA
PKA1H1_STAND_030020700	136	9799	NA
PKA1H1_STAND_030020800	520	136	NA
PKA1H1_STAND_030020900	455	520	NA
PKA1H1_STAND_030021000	1867	455	NA
PKA1H1_STAND_030021100	635	1867	NA
PKA1H1_STAND_030021200	425	635	NA
PKA1H1_STAND_030021300	1706	425	NA
PKA1H1_STAND_030021400	856	1706	NA
PKA1H1_STAND_030021500	160	856	NA
PKA1H1_STAND_030021600	1725	160	NA
PKA1H1_STAND_030021700	111	1725	NA
PKA1H1_STAND_030021800	8691	111	NA
PKA1H1_STAND_030022000	914	8691	NA
PKA1H1_STAND_030022100	1459	914	NA
PKA1H1_STAND_030022200	345	1459	NA
PKA1H1_STAND_030022300	360	345	NA
PKA1H1_STAND_030022400	3454	360	NA
PKA1H1_STAND_030022500	1184	3454	NA
PKA1H1_STAND_030022600	878	1184	NA
PKA1H1_STAND_030022700	1596	878	NA
PKA1H1_STAND_030022800	1067	1596	NA
PKA1H1_STAND_030022900	1011	1067	busco
PKA1H1_STAND_030023000	4793	1011	NA
PKA1H1_STAND_030023200	476	4793	NA
PKA1H1_STAND_030023300	827	476	NA
PKA1H1_STAND_030023400	1133	827	busco
PKA1H1_STAND_030023500	686	1133	NA
PKA1H1_STAND_030023600	518	686	NA
PKA1H1_STAND_030023700	2842	518	NA
PKA1H1_STAND_030023900	1040	2842	NA
PKA1H1_STAND_030024000	2121	1040	NA
PKA1H1_STAND_030024100	432	2121	NA
PKA1H1_STAND_030024200	1280	432	NA
PKA1H1_STAND_030024300	798	1280	NA
PKA1H1_STAND_030024400	794	798	NA
PKA1H1_STAND_030024500	7934	794	NA
PKA1H1_STAND_030024700	8756	7934	NA
PKA1H1_STAND_030024900	3436	8756	NA
PKA1H1_STAND_030025000	1396	3436	NA
PKA1H1_STAND_030025100	1268	1396	NA
PKA1H1_STAND_030025200	745	1268	NA
PKA1H1_STAND_030025300	9260	745	NA
PKA1H1_STAND_030025500	1541	9260	NA
PKA1H1_STAND_030025600	10655	1541	NA
PKA1H1_STAND_030025800	1665	10655	NA
PKA1H1_STAND_030025900	515	1665	NA
PKA1H1_STAND_030026000	497	515	busco
PKA1H1_STAND_030026100	4853	497	NA
PKA1H1_STAND_030026200	14348	4853	NA
PKA1H1_STAND_030026300	1418	14348	NA
PKA1H1_STAND_030026400	5370	1418	NA
PKA1H1_STAND_030026500	11236	5370	NA
PKA1H1_STAND_030026700	5603	11236	NA
PKA1H1_STAND_030026800	2830	5603	NA
PKA1H1_STAND_030026900	1628	2830	NA
PKA1H1_STAND_030027000	14545	1628	KIR
PKA1H1_STAND_030027200	0	14545	NA
PKA1H1_STAND_040005100	8633	0	sicavarI
PKA1H1_STAND_040005300	105	8633	NA
PKA1H1_STAND_040005400	5930	105	NA
PKA1H1_STAND_040005500	3711	5930	NA
PKA1H1_STAND_040005600	3671	3711	NA
PKA1H1_STAND_040005700	2054	3671	NA
PKA1H1_STAND_040005800	2800	2054	NA
PKA1H1_STAND_040005900	2065	2800	NA
PKA1H1_STAND_040006000	3780	2065	NA
PKA1H1_STAND_040006100	3383	3780	NA
PKA1H1_STAND_040006200	2306	3383	NA
PKA1H1_STAND_040006300	1793	2306	NA
PKA1H1_STAND_040006400	1121	1793	NA
PKA1H1_STAND_040006500	758	1121	NA
PKA1H1_STAND_040006600	982	758	NA
PKA1H1_STAND_040006700	534	982	NA
PKA1H1_STAND_040006800	1391	534	NA
PKA1H1_STAND_040006900	5005	1391	NA
PKA1H1_STAND_040007000	8114	5005	busco
PKA1H1_STAND_040007200	1497	8114	busco
PKA1H1_STAND_040007300	787	1497	NA
PKA1H1_STAND_040007400	2187	787	NA
PKA1H1_STAND_040007500	675	2187	NA
PKA1H1_STAND_040007600	775	675	NA
PKA1H1_STAND_040007700	2058	775	NA
PKA1H1_STAND_040007800	724	2058	NA
PKA1H1_STAND_040007900	10792	724	NA
PKA1H1_STAND_040008200	2722	10792	NA
PKA1H1_STAND_040008300	1513	2722	NA
PKA1H1_STAND_040008400	973	1513	NA
PKA1H1_STAND_040008500	254	973	NA
PKA1H1_STAND_040008600	1929	254	NA
PKA1H1_STAND_040008700	273	1929	NA
PKA1H1_STAND_040008800	1594	273	NA
PKA1H1_STAND_040008900	7690	1594	NA
PKA1H1_STAND_040009100	2488	7690	NA
PKA1H1_STAND_040009200	1087	2488	NA
PKA1H1_STAND_040009300	922	1087	NA
PKA1H1_STAND_040009400	2151	922	NA
PKA1H1_STAND_040009600	6591	2151	NA
PKA1H1_STAND_040009800	1547	6591	NA
PKA1H1_STAND_040009900	413	1547	NA
PKA1H1_STAND_040010000	3615	413	NA
PKA1H1_STAND_040010200	5633	3615	NA
PKA1H1_STAND_040010400	2285	5633	NA
PKA1H1_STAND_040010500	2262	2285	NA
PKA1H1_STAND_040010600	1217	2262	NA
PKA1H1_STAND_040010700	1843	1217	NA
PKA1H1_STAND_040010800	2986	1843	NA
PKA1H1_STAND_040010900	1247	2986	NA
PKA1H1_STAND_040011000	2902	1247	NA
PKA1H1_STAND_040011100	9311	2902	NA
PKA1H1_STAND_040011400	2117	9311	NA
PKA1H1_STAND_040011500	513	2117	busco
PKA1H1_STAND_040011600	1543	513	NA
PKA1H1_STAND_040011700	5485	1543	NA
PKA1H1_STAND_040011800	77	5485	NA
PKA1H1_STAND_040011900	5326	77	NA
PKA1H1_STAND_040012000	6866	5326	sicavarI
PKA1H1_STAND_040012100	10389	6866	NA
PKA1H1_STAND_040012300	1977	10389	NA
PKA1H1_STAND_040012500	77	1977	NA
PKA1H1_STAND_040012600	1246	77	NA
PKA1H1_STAND_040012700	1725	1246	NA
PKA1H1_STAND_040012800	1184	1725	NA
PKA1H1_STAND_040012900	2469	1184	sicavarI
PKA1H1_STAND_040013000	694	2469	sicavarII
PKA1H1_STAND_040013100	907	694	NA
PKA1H1_STAND_040013200	2319	907	NA
PKA1H1_STAND_040013300	419	2319	NA
PKA1H1_STAND_040013400	1423	419	NA
PKA1H1_STAND_040013500	13715	1423	NA
PKA1H1_STAND_040013700	2594	13715	NA
PKA1H1_STAND_040013800	8392	2594	NA
PKA1H1_STAND_040014000	1125	8392	NA
